ID,Monarch,Order,cov.xx,cov.yy,cov.xy,Area,TimeCDT,TimeGMT,Year,Date,individual.local.identifier,location.long,location.lat,timestamp,argos.semi.major,argos.semi.minor,argos.orientation,turnangle,steplength,bearing
F1,a,1,0,0,0,0,11:00:00,17:00:00,2016,8/8/2016,a,-93.75564103,42.11580899,8/8/2016 17:00,0,0,0,na,42.82430262,44.89101416
F1,a,2,231.7449,41.4377,-39.1436,1690.9841,11:01:00,17:01:00,2016,8/8/2016,a,-93.7552787,42.11608462,8/8/2016 17:01,10.94261563,4.104931561,-78.81953419,-170.1776928,37.8271005,234.7133214
F1,a,3,25.6053,3.1796,0.2443,169.7742,11:02:00,17:02:00,2016,8/8/2016,a,-93.75545972,42.11593855,8/8/2016 17:02,3.578265014,1.260344987,269.3759328,-91.33294258,3.969657872,143.3803788
F1,a,4,2.2524,0.4274,-0.5789,14.9123,11:03:00,17:03:00,2016,8/8/2016,a,-93.75562086,42.11585687,8/8/2016 17:03,1.100122579,0.360042098,-73.80425526,-10.86063375,2.044110029,132.5197451
F1,a,5,6.2082,1.0529,-1.0828,43.595,11:04:00,17:04:00,2016,8/8/2016,a,-93.75560249,42.11584455,8/8/2016 17:04,1.792539053,0.646029212,-78.60703051,-163.6626533,7.190610678,328.8570918
F1,a,6,42.3041,5.6958,-2.0624,289.5894,11:05:00,17:05:00,2016,8/8/2016,a,-93.75537785,42.11598111,8/8/2016 17:05,4.60542739,1.670325884,-86.78568707,137.2019383,46.01565965,106.0590301
F1,a,7,76.3456,13.5899,-6.3355,594.4508,11:06:00,17:06:00,2016,8/8/2016,a,-93.75492758,42.11575043,8/8/2016 17:06,6.203983038,2.545259214,-84.29244167,172.1463839,14.7937473,278.205414
F1,a,8,255.5922,35.0941,-28.0496,1702.7023,11:07:00,17:07:00,2016,8/8/2016,a,-93.75528924,42.11580641,8/8/2016 17:07,11.38210105,3.973779768,-82.86281859,-9.398916451,18.34938086,268.8064976
F1,a,9,113.7319,19.0974,-18.7632,802.9895,11:08:00,17:08:00,2016,8/8/2016,a,-93.75551109,42.11580151,8/8/2016 17:08,7.658861474,2.785047741,-79.18483756,29.4578364,12.66820043,298.264334
F1,a,10,2.6871,0.5097,-0.5491,19.4534,11:09:00,17:09:00,2016,8/8/2016,a,-93.75565079,42.1158517,8/8/2016 17:09,1.186957301,0.43535315,-76.61765638,165.6423959,19.91411747,103.9067298
F1,a,11,225.0963,32.7875,-29.762,1516.9026,11:10:00,17:10:00,2016,8/8/2016,a,-93.75541237,42.11581308,8/8/2016 17:10,10.71440574,3.760772476,-81.40075011,169.0449988,7.703720734,272.9517286
F1,a,12,0.3875,0.0679,-0.0954,2.4695,11:11:00,17:11:00,2016,8/8/2016,a,-93.75553622,42.11582755,8/8/2016 17:11,0.454868508,0.144203468,-74.58147856,-49.33156392,8.371814177,223.6201647
F1,a,13,20.251,5.1045,-4.4515,172.057,11:12:00,17:12:00,2016,8/8/2016,a,-93.7555867,42.11574314,8/8/2016 17:12,3.275850566,1.395189259,-74.77665226,-75.0556137,9.186873131,148.564551
F1,a,14,3.9835,1.1056,-1.2487,31.7478,11:13:00,17:13:00,2016,8/8/2016,a,-93.75557732,42.11571636,8/8/2016 17:13,1.491603325,0.565393245,-69.52451397,-43.68161077,32.53206632,104.8829402
F1,a,15,8.1787,1.3916,-0.3141,63.2244,11:14:00,17:14:00,2016,8/8/2016,a,-93.75510028,42.11559767,8/8/2016 17:14,2.024006574,0.829787556,-87.35594366,87.39993376,14.02709125,192.282874
F1,a,16,733.5387,271.0911,-174.7427,7722.3845,11:15:00,17:15:00,2016,8/8/2016,a,-93.7557148,42.11575514,8/8/2016 17:15,19.9015263,10.30748034,-71.46028718,135.2561819,4.974059479,327.5390559
F1,a,17,0.4878,0.1609,0.0112,5.2695,11:16:00,17:16:00,2016,8/8/2016,a,-93.75517809,42.11545958,8/8/2016 17:16,0.494056311,0.283299068,268.0400392,-154.9433455,11.50463117,172.5957103
F1,a,18,287.3071,27.5902,48.8773,1400.7282,11:17:00,17:17:00,2016,8/8/2016,a,-93.75520207,42.11553196,8/8/2016 17:17,12.16965436,3.057476551,259.6871057,-142.3431355,3.416943782,30.25257477
F1,a,19,132.4261,28.2125,-0.6731,1150.4389,11:18:00,17:18:00,2016,8/8/2016,a,-93.75518292,42.11542934,8/8/2016 17:18,8.137273723,3.755539424,-89.62995574,43.80816092,46.84940298,74.06073569
F1,a,20,0.0154,0.0059,4.00E-04,0.1788,11:19:00,17:19:00,2016,8/8/2016,a,-93.75516404,42.11541007,8/8/2016 17:19,0.087797529,0.054236462,267.5932246,-20.86915684,100.0962576,53.19157886
F1,a,21,125.7647,39.4851,-7.2835,1319.3087,11:20:00,17:20:00,2016,8/8/2016,a,-93.7546189,42.1155755,8/8/2016 17:20,7.949063904,4.408773418,-85.20842618,na,na,na
F1,a,22,0,0,0,0,11:21:00,17:21:00,2016,8/8/2016,a,-93.75365594,42.11612196,8/8/2016 17:21,0,0,0,na,na,na
63,m,1,2.3009,20.9753,4.7511,95.4024,11:22:00,17:22:00,2016,8/8/2016,m,-93.75549798,42.11594507,8/8/2016 17:22,3.32524901,0.762114836,13.48430671,na,7.567464,222.016083
63,m,2,0.0245,0.1067,0.0379,0.6463,11:23:00,17:23:00,2016,8/8/2016,m,-93.75555865,42.11589403,8/8/2016 17:23,0.246482499,0.06961593,21.34021318,161.814907,17.925943,23.830989
63,m,3,0.2905,4.0074,0.9576,9.3557,11:24:00,17:24:00,2016,8/8/2016,m,-93.75547279,42.11604228,8/8/2016 17:24,1.455953983,0.170727848,13.63030351,174.943966,25.695982,198.774955
63,m,4,26.1308,99.5055,31.076,760.9695,11:25:00,17:25:00,2016,8/8/2016,m,-93.75557023,42.11582252,8/8/2016 17:25,7.446411131,2.714610702,20.13312465,178.011831,12.550422,16.786786
63,m,5,0.3626,2.1902,0.6734,10.9875,11:26:00,17:26:00,2016,8/8/2016,m,-93.75552767,42.11593102,8/8/2016 17:26,1.098071095,0.265781623,18.19367301,166.40921,32.320069,183.195996
63,m,6,27.5085,52.0886,9.7062,688.6831,11:27:00,17:27:00,2016,8/8/2016,m,-93.75554601,42.11564026,8/8/2016 17:27,5.265889767,3.47404015,19.15014839,-176.634652,35.717245,6.561345
63,m,7,5.8919,50.6339,12.9668,214.7725,11:28:00,17:28:00,2016,8/8/2016,m,-93.75550044,42.11596014,8/8/2016 17:28,5.201931943,1.096724241,15.04883528,na,na,na
M4,k,1,0.1349,0.0213,-0.0231,0.9101,11:29:00,17:29:00,2016,8/8/2016,k,-93.75560628,42.11585807,8/8/2016 17:29,0.264024256,0.09160345,-78.93445459,na,12.09490662,116.6550888
M4,k,2,24.9986,4.4895,-6.1898,161.8301,11:30:00,17:30:00,2016,8/8/2016,k,-93.75562202,42.11587571,8/8/2016 17:30,3.655264839,1.176048025,-74.44209495,-17.96176631,23.25638073,98.69332253
M4,k,3,68.7125,9.1875,-0.0856,472.9287,11:31:00,17:31:00,2016,8/8/2016,k,-93.75504697,42.11580944,8/8/2016 17:31,5.861425727,2.143289167,-89.91760596,-174.5496385,26.46279328,284.1436841
M4,k,4,100.2762,15.1503,-36.2498,269.6094,11:32:00,17:32:00,2016,8/8/2016,k,-93.75574984,42.1159112,8/8/2016 17:32,7.537266984,0.950187568,-69.78989701,-131.9294989,12.69972367,152.2141852
M4,k,5,7.7854,1.3478,-0.8283,58.9453,11:33:00,17:33:00,2016,8/8/2016,k,-93.75542427,42.11573542,8/8/2016 17:33,1.986235862,0.788331847,-82.78453321,159.26188,16.94787758,311.4760652
M4,k,6,211.2141,37.2654,-58.1623,1261.0009,11:34:00,17:34:00,2016,8/8/2016,k,-93.75537931,42.11577395,8/8/2016 17:34,10.6974186,3.13129133,-73.11409578,-26.15179205,8.821648937,285.3242731
M4,k,7,20.2538,3.6875,-3.5795,148.0589,11:35:00,17:35:00,2016,8/8/2016,k,-93.75559908,42.11583049,8/8/2016 17:35,3.239918305,1.213910779,-78.314391,12.43968649,7.534291586,297.7639596
M4,k,8,24.1316,4.82,-5.1262,178.604,11:36:00,17:36:00,2016,8/8/2016,k,-93.75567401,42.1158566,8/8/2016 17:36,3.564265191,1.331094905,-76.01823238,176.7441222,13.25822981,114.5080818
M4,k,9,1.3993,0.2047,0.0414,10.0424,11:37:00,17:37:00,2016,8/8/2016,k,-93.75551366,42.1159617,8/8/2016 17:37,0.836879035,0.318800065,268.0175309,-116.6795618,2.420137899,357.82852
M4,k,10,7.7825,1.4363,-3.1342,21.91,11:38:00,17:38:00,2016,8/8/2016,k,-93.75579129,42.11590613,8/8/2016 17:38,2.129485786,0.273295241,-67.67668238,110.7324277,27.76761618,108.5609477
M4,k,11,1.1481,0.1968,-0.2201,7.9301,11:39:00,17:39:00,2016,8/8/2016,k,-93.75563303,42.11585816,8/8/2016 17:39,0.773484273,0.272345515,-77.58417906,-177.5794093,29.42660611,290.9815384
M4,k,12,1.8498,0.2215,-0.2275,11.2625,11:40:00,17:40:00,2016,8/8/2016,k,-93.75513777,42.11575727,8/8/2016 17:40,0.96979072,0.308473595,-82.19395375,172.5197317,11.87363081,103.5012701
M4,k,13,1.4245,0.225,-0.3188,8.8055,11:41:00,17:41:00,2016,8/8/2016,k,-93.75557374,42.11587218,8/8/2016 17:41,0.867169349,0.269754186,-76.00345341,-176.8671693,16.76455696,286.6341008
M4,k,14,7.4106,1.0682,-1.7139,41.9981,11:42:00,17:42:00,2016,8/8/2016,k,-93.75538168,42.11581238,8/8/2016 17:42,1.980418384,0.563332074,-75.80532315,176.2464113,6.544991145,102.8805121
M4,k,15,0.0259,0.0028,-3.00E-04,0.1603,11:43:00,17:43:00,2016,8/8/2016,k,-93.75532719,42.1158924,8/8/2016 17:43,0.113806624,0.037390537,-89.25606624,na,na,na
M4,k,16,20.7153,3.503,-4.8866,131.3374,11:44:00,17:44:00,2016,8/8/2016,k,-93.75560661,42.11587996,8/8/2016 17:44,3.317065746,1.051772236,-75.20597427,na,na,na
M4,k,17,18.6476,2.8627,-4.1196,113.5797,11:45:00,17:45:00,2016,8/8/2016,k,-93.75552525,42.11586826,8/8/2016 17:45,3.135128676,0.962350343,-76.21845906,na,na,na
F2,j,1,127.1806,1128.8966,-344.4557,2971.6099,11:46:00,17:46:00,2016,8/8/2016,j,-93.75405855,42.11580163,8/8/2016 17:46,24.85870753,3.175414948,-17.25875962,na,55.24751366,91.75832443
F2,j,2,1.4022,0.1074,-0.0979,7.0681,11:47:00,17:47:00,2016,8/8/2016,j,-93.75549868,42.11592541,8/8/2016 17:47,0.839511879,0.223651077,-85.70043454,-68.02132427,7.639259716,23.73700015
F2,j,3,176.0914,4.2726,17.3102,400.4983,11:48:00,17:48:00,2016,8/8/2016,j,-93.75483056,42.11591453,8/8/2016 17:48,9.429156838,1.128273603,264.303901,-83.39010624,93.10654144,300.3468939
F2,j,4,47.9536,0.4609,-0.029,88.4922,11:49:00,17:49:00,2016,8/8/2016,j,-93.75479411,42.11597775,8/8/2016 17:49,4.896611977,0.480042859,-89.96501406,na,na,na
123,d,1,204.2895,17.0186,-25.3445,1002.1013,11:50:00,17:50:00,2016,8/8/2016,d,-93.75513434,42.11586745,8/8/2016 17:50,10.18967373,2.612393413,-82.4272706,na,2.25529828,206.9263476
123,d,2,243.1277,19.764,-29.1345,1183.9408,11:51:00,17:51:00,2016,8/8/2016,d,-93.75514648,42.11584926,8/8/2016 17:51,11.11002527,2.830757599,-82.68953794,123.4165122,4.389978913,330.3428598
123,d,3,274.1145,20.8436,-35.5562,1255.5344,11:52:00,17:52:00,2016,8/8/2016,d,-93.75517316,42.11588344,8/8/2016 17:52,11.81125484,2.823704874,-82.15826532,0,0,180
123,d,4,274.1145,20.8436,-35.5562,1255.5344,11:53:00,17:53:00,2016,8/8/2016,d,-93.75517316,42.11588344,8/8/2016 17:53,11.81125484,2.823704874,-82.15826532,0,1.762899671,142.5853795
123,d,5,324.7661,24.8952,-39.7908,1517.7482,11:54:00,17:54:00,2016,8/8/2016,d,-93.75516006,42.11587092,8/8/2016 17:54,12.84438076,3.138874449,-82.5685495,-30.74432292,7.433479015,111.8410566
123,d,6,189.1424,17.7377,-20.3746,1020.5706,11:55:00,17:55:00,2016,8/8/2016,d,-93.7550763,42.11584656,8/8/2016 17:55,9.785985115,2.770296973,-83.31347029,-172.8982597,10.14885903,298.9427968
123,d,7,168.3029,13.0624,-23.446,764.2857,11:56:00,17:56:00,2016,8/8/2016,d,-93.75518425,42.11589009,8/8/2016 17:56,9.267326177,2.190734017,-81.59625752,161.4676951,0.785836122,100.4104919
123,d,8,344.6738,25.528,-43.7583,1561.7233,11:57:00,17:57:00,2016,8/8/2016,d,-93.75517489,42.11588887,8/8/2016 17:57,13.2394258,3.133449295,-82.33261619,172.187326,4.935472201,272.597818
123,d,9,283.5263,19.5442,-39.9483,1182.3039,11:58:00,17:58:00,2016,8/8/2016,d,-93.75523455,42.11589049,8/8/2016 17:58,12.02994631,2.610678416,-81.58053991,-168.1652061,7.432560814,104.4326119
123,d,10,122.2841,10.3275,-16.4209,593.2124,11:59:00,17:59:00,2016,8/8/2016,d,-93.75514729,42.11587438,8/8/2016 17:59,7.894393252,1.996084963,-81.82563212,-2.228627136,1.205339226,102.2039847
123,d,11,259.1073,21.1668,-31.4628,1261.9056,12:00:00,18:00:00,2016,8/8/2016,d,-93.75513301,42.11587218,8/8/2016 18:00,11.47164575,2.922053016,-82.59335945,-163.5406592,3.926932321,298.6633255
123,d,12,344.6738,25.528,-43.7583,1561.7233,12:01:00,18:01:00,2016,8/8/2016,d,-93.75517489,42.11588887,8/8/2016 18:01,13.2394258,3.133449295,-82.33261619,171.3523901,5.359095973,110.0157156
123,d,13,210.1517,18.1338,-25.4888,1058.2933,12:02:00,18:02:00,2016,8/8/2016,d,-93.75511379,42.11587275,8/8/2016 18:02,10.33144531,2.721026975,-82.56594344,-23.2462377,2.269606664,86.76947794
123,d,14,166.6212,15.324,-20.0466,873.0651,12:03:00,18:03:00,2016,8/8/2016,d,-93.75508639,42.11587408,8/8/2016 18:03,9.198703055,2.521202512,-82.57898519,-159.9578011,8.478464723,286.8116768
123,d,15,222.8141,16.8753,-30.3648,1002.7482,12:04:00,18:04:00,2016,8/8/2016,d,-93.75518482,42.11589552,8/8/2016 18:04,10.65828179,2.499145725,-81.78483013,-173.0125093,6.393792773,113.7991675
123,d,16,210.1517,18.1338,-25.4888,1058.2933,12:05:00,18:05:00,2016,8/8/2016,d,-93.75511379,42.11587275,8/8/2016 18:05,10.33144531,2.721026975,-82.56594344,161.229756,6.998741136,275.0289235
123,d,17,273.5402,20.098,-36.549,1214.2911,12:06:00,18:06:00,2016,8/8/2016,d,-93.75519818,42.11587772,8/8/2016 18:06,11.80478011,2.732446969,-81.95566947,-177.2283841,9.731449358,97.80053947
123,d,18,252.81,22.8569,-28.0664,1329.7321,12:07:00,18:07:00,2016,8/8/2016,d,-93.75508142,42.11586659,8/8/2016 18:07,11.31781816,3.120968126,-83.14103105,-59.74586325,11.25608642,38.05467623
123,d,19,1.6593,0.2028,-0.2893,9.4648,12:08:00,18:08:00,2016,8/8/2016,d,-93.75499844,42.11594697,8/8/2016 18:08,0.925920805,0.271515494,-79.16718354,51.69351231,12.76472328,89.74818854
123,d,20,63.539,9.6131,-8.8952,434.0183,12:09:00,18:09:00,2016,8/8/2016,d,-93.75484405,42.11594849,8/8/2016 18:09,5.699490987,2.022832788,-80.87102089,-173.0238294,4.079664183,276.7243592
123,d,21,109.7767,15.2013,-15.6343,710.3717,12:10:00,18:10:00,2016,8/8/2016,d,-93.75489311,42.11595246,8/8/2016 18:10,7.493136847,2.518312966,-80.8525184,-27.5105513,2.173682314,249.2138079
123,d,22,71.6973,9.5897,-10.3834,453.2097,12:11:00,18:11:00,2016,8/8/2016,d,-93.75491761,42.11594536,8/8/2016 18:11,6.057526516,1.987428618,-80.75585447,-138.239169,3.814449377,110.9746388
123,d,23,46.1602,6.6869,-6.2634,308.9666,12:12:00,18:12:00,2016,8/8/2016,d,-93.75487438,42.11593335,8/8/2016 18:12,4.854389988,1.690694486,-81.19661631,-110.8817017,0.369900486,0.092937116
123,d,24,64.9341,9.349,-8.7617,433.4535,12:13:00,18:13:00,2016,8/8/2016,d,-93.75487441,42.11593667,8/8/2016 18:13,5.756842453,2.00007874,-81.25117887,-89.81416367,6.206973469,270.2787734
123,d,25,103.7228,12.9156,-14.3016,634.1615,12:14:00,18:14:00,2016,8/8/2016,d,-93.75494949,42.11593645,8/8/2016 18:14,7.277429454,2.314783045,-81.25809286,169.2461386,2.164371304,79.52491204
123,d,26,116.0834,15.1266,-15.8276,730.3205,12:15:00,18:15:00,2016,8/8/2016,d,-93.75492379,42.11594016,8/8/2016 18:15,7.697617283,2.520255574,-81.2955413,5.778742635,4.08672071,85.30365468
123,d,27,112.5235,16.0052,-15.0232,747.0659,12:16:00,18:16:00,2016,8/8/2016,d,-93.75487456,42.1159435,8/8/2016 18:16,7.576536722,2.619244414,-81.35424883,56.41307735,0.617867979,141.716732
123,d,28,147.1133,21.1615,-18.4386,991.2199,12:17:00,18:17:00,2016,8/8/2016,d,-93.75486988,42.11593917,8/8/2016 18:17,8.653239481,3.042835271,-81.84029614,166.1116424,2.458183948,307.8283745
123,d,29,182.227,25.1891,-24.4451,1189.3488,12:18:00,18:18:00,2016,8/8/2016,d,-93.75489353,42.11595258,8/8/2016 18:18,9.642204744,3.276574075,-81.35360193,155.2330854,2.447829751,103.0614599
123,d,30,129.2269,18.8497,-17.1925,870.8031,12:19:00,18:19:00,2016,8/8/2016,d,-93.75486463,42.11594779,8/8/2016 18:19,8.119200375,2.849014789,-81.34850226,-11.71380829,9.435009771,91.34765158
123,d,31,71.4603,12.3194,-8.3911,535.6829,12:20:00,18:20:00,2016,8/8/2016,d,-93.75475051,42.11594655,8/8/2016 18:20,6.026101898,2.361344091,-82.07891996,-176.1482253,14.01305945,275.1994263
123,d,32,158.6276,20.8253,-22.5594,995.0328,12:21:00,18:21:00,2016,8/8/2016,d,-93.75491945,42.11595687,8/8/2016 18:21,9.006296696,2.934803201,-80.93533973,0,0,180
123,d,33,158.6276,20.8253,-22.5594,995.0328,12:22:00,18:22:00,2016,8/8/2016,d,-93.75491945,42.11595687,8/8/2016 18:22,9.006296696,2.934803201,-80.93533973,0,2.592210842,111.5083516
123,d,34,147.0843,20.513,-19.7904,964.4661,12:23:00,18:23:00,2016,8/8/2016,d,-93.75489017,42.11594851,8/8/2016 18:23,8.663328417,2.957260682,-81.31736518,-24.64701863,3.937706769,86.86133296
123,d,35,142.3805,21.4724,-18.6333,979.8764,12:24:00,18:24:00,2016,8/8/2016,d,-93.75484264,42.11595076,8/8/2016 18:24,8.520180727,3.05499106,-81.43476165,-60.46504648,2.520372594,26.39628648
123,d,36,80.9251,12.5363,-12.5546,550.9907,12:25:00,18:25:00,2016,8/8/2016,d,-93.75482933,42.11597118,8/8/2016 18:25,6.448139075,2.269846353,-79.91955162,129.1777639,1.369472636,155.5740504
123,d,37,64.9895,10.2336,-9.5148,451.1742,12:26:00,18:26:00,2016,8/8/2016,d,-93.75482234,42.11596,8/8/2016 18:26,5.770430881,2.076939444,-80.41793182,-61.71909142,30.3714172,93.85495894
123,d,38,23.4046,4.0403,1.2135,181.6065,12:27:00,18:27:00,2016,8/8/2016,d,-93.7544556,42.11594402,8/8/2016 18:27,3.426393871,1.407932896,266.4280786,-11.62651216,26.94720741,82.22844677
123,d,39,0,0,0,0,12:28:00,18:28:00,2016,8/8/2016,d,-93.75413303,42.11597896,8/8/2016 18:28,0,0,0,na,na,na
118,g,1,0.0021,2.00E-04,-2.00E-04,0.011,12:29:00,18:29:00,2016,8/8/2016,g,-93.75567924,42.11598762,8/8/2016 18:29,0.032563971,0.009465083,-84.05567098,na,6.595984519,99.42733509
118,g,2,1.9068,0.1723,-0.1955,10.1405,12:30:00,18:30:00,2016,8/8/2016,g,-93.75566745,42.1159888,8/8/2016 18:30,0.981978174,0.27435172,-83.64821533,12.74581953,39.54246336,112.1731546
118,g,3,33.1483,3.2896,0.9625,195.7194,12:31:00,18:31:00,2016,8/8/2016,g,-93.75520621,42.11578221,8/8/2016 18:31,4.073039048,1.276441505,268.1556138,53.29987213,4.145740736,165.4730267
118,g,4,0,0,0,0,12:32:00,18:32:00,2016,8/8/2016,g,-93.75351306,42.11447599,8/8/2016 18:32,0,0,0,na,na,na
117,f,1,4.9512,0.39,-0.4023,25.035,12:33:00,18:33:00,2016,8/8/2016,f,-93.75570662,42.11600218,8/8/2016 18:33,1.578988795,0.421182128,-84.99794494,na,8.327292853,100.1682871
117,f,2,38.1117,3.05,-3.2463,193.5208,12:34:00,18:34:00,2016,8/8/2016,f,-93.75567191,42.1159911,8/8/2016 18:34,4.38233589,1.173022655,-84.75450434,18.04850358,6.100560525,118.2167907
117,f,3,1.9357,0.1552,-0.1217,10.0592,12:35:00,18:35:00,2016,8/8/2016,f,-93.75566101,42.11601186,8/8/2016 18:35,0.985895503,0.27103516,-86.10786798,-178.8378985,9.316674654,299.3788921
117,f,4,0.5817,0.0504,-0.0524,3.0683,12:36:00,18:36:00,2016,8/8/2016,f,-93.75565924,42.11599465,8/8/2016 18:36,0.541672728,0.150468123,-84.42076951,-26.97222973,14.18371069,272.4066624
117,f,5,4.052,0.3355,-0.3055,21.1796,12:37:00,18:37:00,2016,8/8/2016,f,-93.75566872,42.11600583,8/8/2016 18:37,1.427750849,0.394052678,-85.3319867,9.612703563,1.889625754,282.019366
117,f,6,20.7642,1.4331,-1.5332,98.5389,12:38:00,18:38:00,2016,8/8/2016,f,-93.7557773,42.11601331,8/8/2016 18:38,3.231489334,0.810016471,-85.49327121,-175.9233012,6.414458321,106.0960648
117,f,7,1.4776,0.0934,-0.1424,6.4582,12:39:00,18:39:00,2016,8/8/2016,f,-93.75588102,42.11602185,8/8/2016 18:39,0.863741165,0.19862326,-84.18680367,59.77551715,0.452281019,165.8715819
117,f,8,4.7909,0.373,-0.4782,23.4971,12:40:00,18:40:00,2016,8/8/2016,f,-93.75577859,42.11600368,8/8/2016 18:40,1.555967293,0.401143094,-83.89246611,123.4076456,11.64695276,289.2792276
117,f,9,12.4215,0.959,-1.2732,60.382,12:41:00,18:41:00,2016,8/8/2016,f,-93.7557879,42.11600289,8/8/2016 18:41,2.506114319,0.640032046,-83.73755443,176.4169503,30.25324986,105.6961778
117,f,10,0.1178,0.008,-0.013,0.5253,12:42:00,18:42:00,2016,8/8/2016,f,-93.75587978,42.116018,8/8/2016 18:42,0.244252094,0.056929031,-83.33903465,18.41592346,4.774489581,124.1121013
117,f,11,28.741,2.3757,-2.4263,148.679,12:43:00,18:43:00,2016,8/8/2016,f,-93.75563041,42.1159876,8/8/2016 18:43,3.805418751,1.037852654,-84.78564034,169.0960109,18.7260177,293.2081121
117,f,12,3.6054,0.3246,-0.3822,19.048,12:44:00,18:44:00,2016,8/8/2016,f,-93.75566045,42.11598172,8/8/2016 18:44,1.350802792,0.374608884,-83.4422644,177.7145505,4.10828689,110.9226627
117,f,13,0.1314,0.0102,-0.0105,0.6607,12:45:00,18:45:00,2016,8/8/2016,f,-93.75572516,42.11600703,8/8/2016 18:45,0.257199268,0.068180178,-85.08505383,-19.80096743,5.659984616,91.12169526
117,f,14,17.289,1.3736,-1.4393,87.6359,12:46:00,18:46:00,2016,8/8/2016,f,-93.75569011,42.11599681,8/8/2016 18:46,2.951111215,0.788823551,-84.87390739,-160.2487093,5.463131283,290.8729859
117,f,15,22.1332,1.7907,-1.5892,114.6621,12:47:00,18:47:00,2016,8/8/2016,f,-93.75561345,42.11599532,8/8/2016 18:47,3.335910905,0.913043499,-85.55982938,-170.3640364,11.4983477,120.5089495
117,f,16,29.8149,2.6633,-2.503,160.9755,12:48:00,18:48:00,2016,8/8/2016,f,-93.75564431,42.11600286,8/8/2016 18:48,3.875804015,1.103287468,-84.77678308,163.9565888,6.020873358,284.4655383
117,f,17,8.3774,0.7763,-0.8995,44.9162,12:49:00,18:49:00,2016,8/8/2016,f,-93.75559924,42.11597134,8/8/2016 18:49,2.059416768,0.579355311,-83.34223301,-178.4715634,14.27289408,105.9939749
